id	disposition	rules	comparison	observation	lesson	verification_prompt
G01	accent	F01,F02	B	A lavender sidebar shell has softly separated panels, unlike B's floating horizontal navigation.	This adds a material finish to a conventional shell, not another navigation philosophy.	Compare against an opaque version with the same hierarchy before attributing benefit to glass.
G02	accent	F01,F02	G01	The same sidebar hierarchy appears in cool blue with subdued frosted-looking planes.	Frost and tint need a distinguishable functional role before becoming separate design rules.	Can users read the smallest metadata at both increased contrast and ordinary contrast settings?
G03	module	F02,F08	G07	Two tall panels separate reserve status from the review action against a blue frame.	A split can localize a transient decision; the static frame does not demonstrate flyout behavior.	Test opening, dismissal and return focus in a native prototype before calling it a flyout pattern.
G04	accent	F02,F07	G05	Gloss is concentrated in the top chrome while the sidebar and evidence remain pale.	Historical gel can live in chrome; most of this screen's usability comes from its ordinary rows.	Does the highlight ever compete with the active window or selected row indication?
G05	accent	F01,F02	G04	A cyan frame and top highlight surround the same sidebar arrangement.	Aero and Aqua references do not create different workflows in this rendering.	Compare selection and focus states without the frame colors.
G06	module	F02,F03	G13	A dark instrument layout isolates the deficit in a separate top-right block.	Metric grouping is the useful distinction; smoked material remains optional.	Check whether free space and deficit can be read without mistaking either for candidate size.
G07	accent	F01,F10	G03	A pale split layout adds angled spectral-looking background planes.	Prismatic edges are identity treatment, while the two-panel decision structure is inherited.	Remove the background planes and confirm that no category meaning disappears.
G08	accent	F02,F10	G16	Fine vertical ribs appear around a green sidebar shell.	Fluting should remain behind non-reading areas; the current composition offers texture, not new interaction.	Check small text and focus outlines against ribs at normal display scale.
G09	module	F03,F10	G06	Outlined instrument panels use repeated fine borders and a separate deficit block.	Precision is conveyed by alignment and labels; decorative ticks must not imply measured calibration.	Ask what every line measures; remove those that appear quantitative without a scale.
G10	accent	F01,F02	G07	Tall rounded panels replace the squared split slabs.	Corner shape alters perceived softness but does not establish a distinct crystal interaction system.	Measure lost content width at large text and a narrow window.
G11	accent	F05,F07	T01	A peach poster composition pairs a large reserve panel with a rounded review panel.	The bubble label overstates the visible uniqueness; use it as a rounded material recipe.	Verify that the review action remains serious when a costly rebuild is involved.
G12	accent	F07,F10	P03	Colored angular planes frame an otherwise conventional light sidebar screen.	Stained accents can establish an edge identity; geometry is not a storage map.	Ask which shapes correspond to bytes; the correct answer is none.
G13	module	F02,F08	G06	A dark two-column slab gives reserve and candidates separate vertical regions.	Use this when status should remain visible through a review task; it loses the instrument panel's explicit policy block.	Can the review consequences remain visible when the right pane scrolls?
G14	accent	F01,F02	G01	Quiet tinted panels appear almost opaque and retain the same sidebar hierarchy.	Mica-inspired tint and transparent glass are different material claims despite similar thumbnails.	Validate the intended native material and accessibility behavior rather than reproducing a screenshot tint.
G15	rework	F02,F09	T02	Gray translucent-looking instrument panels have low visual separation in the sheet.	Brushed identity needs stronger functional boundaries before becoming a reusable control treatment.	Inspect component contrast and selected, disabled and focused states on a full-size prototype.
G16	accent	F01,F02	G08	A muted green shell preserves the ribbed sidebar composition with gentler edges.	Satin is a finish variation; retain it as an option within a material family.	Use identical tasks to compare satin and plain opaque surfaces before claiming reduced strain.
R01	accent	F07,F09	M	Striped title chrome and monochrome rectangular panels reuse the sidebar shell.	Borrow economical edges and glyphs, not one-bit constraints on modern file text.	Test long Unicode paths, keyboard focus and current pointer targets.
R02	accent	F01,F07	R01	Gray bevels and bolder sans-serif type replace monochrome lines within the same shell.	Platinum depth is a state-language candidate only if pressed and disabled states are defined.	Can a user distinguish a raised button from a raised decorative panel?
R03	accent	F07,F09	R09	A dark title strip and hard split panels suggest an early office desktop.	The useful organization is the two-panel separation, not small legacy typography.	Keep current readable metrics while testing whether historical chrome adds any navigation value.
R04	accent	F05,F07	R02	Teal frame, gray surfaces and navy title chrome recolor a beveled sidebar.	Nostalgia is identity evidence, not evidence of recovery safety.	Show a real error and verify it is not visually confused with the navy brand chrome.
R05	accent	F01,F07	G05	Optimistic blue gloss surrounds the recurring light sidebar screen.	The XP reference contributes a period palette more than a separate content grammar.	Compare its active and inactive window states with macOS conventions.
R06	accent	F05,F07	R03	A vivid blue frame surrounds a pale two-panel workspace.	A saturated historical signal can be borrowed, but warning colors still need distinct labels.	Check whether orange and blue accents, if added, collide with status meanings.
R07	accent	F07,F09	R02	A cream frame and compact top tab treatment surround sidebar content.	Tabbed identity must not compete with native window title and tab behavior.	Can users locate app navigation versus system window controls?
R08	module	F03,F07	G06	Heavy gray instrument panes isolate the deficit from the current-space readout.	Retain the metric partition while reducing chrome if paths require more horizontal room.	Test a dense file inspector with both large text and a long package path.
R09	accent	F01,F07	R03	Blue-framed split panels closely resemble the earlier office interpretation.	Treat this as a historically labeled variant with limited structural novelty.	Require a demonstrable behavior difference before promoting it beyond a reference recipe.
R10	accent	F07,F09	R08	Sand-colored recessed instrument panels repeat the current/deficit/review arrangement.	A workstation palette can unify modules; it does not justify a decorative command dock.	Inventory each apparent control and remove any with no action.
R11	accent	F01,F07	R09	Purple-gray split panes change the visual period cue while preserving the same task order.	Historical breadth is useful for taste exploration, but a palette is not a new workflow.	Test whether the violet treatment changes readability, not merely preference.
R12	module	F04,F09	P	A monospaced green manifest displays values and one explicit review button.	A readable audit transcript can serve experts; it should not require users to know shell syntax.	Can a pointer-only user review one item and understand the action's effect?
R13	accent	F01,F05	R12	Amber replaces green in the same terminal manifest.	Record this as a color variant and preserve warning semantics separately.	Can an amber error be recognized when the entire interface is already amber?
R14	module	F08,F09	R03	Blue paired panels use monospaced capacity and candidate text.	Paired browsing could support comparison, but this static split does not yet implement a dual-pane manager.	Prototype independent selection, transfer preview and keyboard movement before adopting the metaphor.
R15	accent	F03,F09	G06	Green monospaced numerals and dark recessed panels imitate a small LCD instrument.	Compact digits can supply character; exact units and full paths need ordinary readable text.	Check whether decimal precision survives scaling and whether the largest value fits.
R16	accent	F05,F07	T04	Blocky typography supplies most of the cartridge-era character in a poster layout.	Pixel identity belongs in short headings; filenames need modern glyph coverage.	Check multilingual paths and avoid using a score or achievement for deletion.
R17	accent	F05,F10	R19	Dark beveled instrument panes have a restrained blue highlight.	The arcade name exceeds the visible distinction from the microconsole; neither should turn bytes into a score.	Compare both without labels and record whether their structure can actually be distinguished.
R18	module	F05,F09	R12	A blue-gray terminal manifest replaces phosphor color but keeps fixed-column reading.	A compact service bulletin can communicate states if text labels survive color removal.	Test wrapping and alignment at enlarged text and narrow window widths.
R19	accent	F01,F07	R17	A metal-like compact instrument repeats the same metric and policy grouping.	Microconsole identity is useful at menu-bar scale only if every visible meter reflects real data.	Map each meter to a quantity or remove it from the functional layer.
R20	accent	F04,F07	P14	A welcome headline and simple bordered panels evoke an early personal page.	Direct links and readable content are transferable; novelty and fake hyperlinks are not.	Check which underlined elements actually navigate and where focus lands.
R21	accent	F02,F07	E13	A silver poster with rounded cards concentrates chrome in its outer surface.	Y2K reflection can live in a title treatment while the review remains flat.	Check glare-like gradients over status text in light and dark environments.
R22	accent	F05,F10	T15	A dark poster includes background grid lines and pale blue accents.	A horizon grid is atmosphere, not an axis; urgency should come from actual status.	Ask users whether the grid represents disk sectors or time and correct ambiguity.
R23	accent	F01,F07	G10	A lavender split-panel desktop supplies a subdued vaporwave cue.	This rendering lacks much of the proposed collage vocabulary; keep its historical claim modest.	Require visible compositional evidence before describing the result as a rich period reconstruction.
R24	accent	F05,F07	R05	Sky-blue chrome surrounds a calm poster and review area.	Gloss and blue-green associations supply identity without evidence of environmental benefit.	Ensure no copy converts a natural motif into a carbon-saving claim.
P01	shell candidate	F01,F06	I	A red accent and aligned rows sit within a warm sidebar ledger.	Use the strict alignment as a scalable operational grid; the Swiss label is broader than this one layout.	Can 30 variable-length rows retain alignment and explicit consequences?
P02	accent	F07,F10	P04	A poster hierarchy and subtle background geometry organize two main planes.	Functional geometric identity needs more than naming circles and triangles after a movement.	Identify which geometric feature aids grouping and which is simply decoration.
P03	accent	F06,F10	P14	Hard black compartment edges separate a monochrome split layout.	Orthogonal compartments can clarify grouping; their areas must not masquerade as category size.	Compare against X17 and verify users understand that only the latter encodes bytes by area.
P04	accent	F05,F07	F	A forceful title and red emphasis frame an otherwise familiar poster composition.	Reserve disruptive emphasis for a meaningful message; routine deficit is not automatically an emergency.	Can urgency vary across normal, warning and critical states without further visual escalation?
P05	accent	F03,F07	G09	Fine double outlines and serif accents decorate a dark instrument.	Ceremonial precision can frame metrics, but this is a limited Deco interpretation rather than a full system.	Check whether ornament competes with separators and the actionable focus ring.
P06	accent	F07,F10	O	Serif typography and rounded double borders create a quiet botanical folio impression.	Curvature can shape a perimeter while the reading order stays conventional.	At small sizes, can users separate ornamental lines from interactive outlines?
P07	accent	F01,F10	N	Peach split panes include faint geometric interruptions around the background.	The original N has more visible Memphis character; this study mostly varies material and tone.	Compare blinded thumbnails before claiming a separate composition vocabulary.
P08	accent	F07,F09	P11	A warm poster uses rounded planes and limited visible distortion.	Keep the psychedelic claim narrow; expressive typography must still preserve short-message recognition.	Test the headline at a glance and keep operational text undistorted.
P09	accent	F07,F09	P01	An offset heading and angled background planes disrupt an otherwise steady poster grid.	Disruption can signal identity when the data baseline remains stable.	Verify that reading order and keyboard order agree despite visual offsets.
P10	accent	F07,F09	P14	Hard offset shadows and a stamped-looking heading frame split panels.	Roughness can communicate repair culture while the evidence language stays exact.	Check whether distress or paper edges look like an error or an unselected state.
P11	accent	F07,F10	E11	Soft peach printing cues sit behind a clean poster and review panel.	Use ink overlap in ornament only; E11 demonstrates the overprint mechanism more visibly.	Keep all numerals single, aligned and free of simulated misregistration.
P12	accent	F07,F09	E12	Serif type, thin rules and cream sidebar panels suggest a printed record.	Material weight should not weaken control affordances or resemble disabled ink.	Test button and text contrast independently of the paper effect.
P13	module	F04,F08	D	A large serif headline dominates a two-column editorial poster.	Editorial pacing suits a short explanation; D offers a richer reason-and-action narrative.	Can users reach file review without scrolling past redundant prose?
P14	shell candidate	F04,F09	P03	A raw monochrome split uses direct headings and strong rectangular boundaries.	Directness is reusable if controls retain conventional semantics and focus treatment.	Run the review path using keyboard alone with no reliance on color.
P15	shell candidate	F05,F11	X31	A blue handbook-like sidebar organizes clean numbered review sections.	Institutional order can clarify categories but must not grant uncertain recommendations false authority.	Can users identify unknown evidence as readily as the confident headline?
P16	rework	F09,F10	T16	Dense black optical marks appear behind a stable instrument cluster.	High-frequency ornament adds little to the decision and risks visual interference.	Offer a plain version and compare reading comfort before retaining the pattern.
T01	accent	F05,F09	G11	Soft shadows and rounded peach poster panels suggest clay volume.	Softness can define a brand, but shadow alone should not define a control.	Remove shadows and verify that buttons remain visibly interactive.
T02	rework	F02,F09	G15	Continuous gray raised panels blur distinctions between instrument regions.	Neumorphic styling requires explicit boundaries and state indicators beyond depth.	Check selected, focused, disabled and pressed controls at full scale before reuse.
T03	accent	F08,F10	X37	Layered paper-like split panels have visible offset edges.	Elevation can express grouping; connected folds in X37 express sequence, which this version does not.	Ask whether the two panels are steps or simultaneous categories and make the intended relation explicit.
T04	accent	F05,F07	E	Heavy outlines and offset shadows surround an approachable poster.	Comic contours can make identity memorable while the evidence remains matter-of-fact.	Verify no celebratory shape or message rewards the amount deleted.
T05	accent	F05,F07	E	Lavender rounded panels supply cuteness with little visible character illustration.	Do not claim a companion interaction from corner radius alone; E contains a concrete character.	Test whether serious consequence wording survives the friendly tone.
T06	accent	F07,F09	T16	Cream sidebar panels and quiet rules suggest a notebook more than actual handwriting.	Handmade cues should stay peripheral to paths and amounts.	Check that a real file annotation cannot be confused with decorative marks.
T07	accent	F05,F09	T03	Flat outlined split panes use crisp offset shadows.	Cel shading can distinguish planes if selected and disabled states use independent signals.	Can users identify the active panel with shadow and color removed?
T08	accent	F06,F10	X10	A slanted background motif accompanies a normal green split panel.	Perspective suggests organization but does not accurately compare volumes.	Ask whether the illustrated volume represents bytes; provide exact text and reject implied measurement.
T09	accent	F07,F09	T10	Dotted stitch-like borders frame warm sidebar panels.	Archive material can communicate care while preserving ownership and source labels.	Can a user tell the app's frame from the content of a personal document preview?
T10	accent	F07,F10	T09	A brown wood-like frame surrounds flat instrument readouts.	Texture is most compatible with evidence when confined to the surround.	Remove grain beneath small labels and compare scanability.
T11	accent	F05,F09	G	Bolt-like corners and stamped instrument labels create a service-tool identity.	Apparent hardware controls need real functions; hazard motifs should not become routine visual noise.	Inventory every bolt, stripe and button for accidental affordance or warning meaning.
T12	shell candidate	F05,F09	A	Near-white planes, thin text and a monochrome readout produce a quiet sidebar utility.	Reduced color can simplify the shell while explicit status labels carry urgency.	Can a blocked cleanup be noticed in the same quiet visual system?
T13	accent	F07,F10	O	Green serif poster panels carry a restrained care metaphor.	Botanical identity adds no evidence that storage is growing naturally or cleanup is environmentally beneficial.	Replace leaves with neutral shapes and confirm all data interpretation is unchanged.
T14	accent	F05,F07	T16	Warm green split panels and a technical motif imply stewardship.	Repair values can shape copy and process; the screenshot does not demonstrate sustainability outcomes.	Check every ecological claim for a measured basis before allowing it into product copy.
T15	module	F05,F09	R18	A dark audit manifest has sharp framing and a luminous action accent.	Diagnostic identity is compatible with a readable log if glitch never touches evidence.	Test noisy and failed states without animation, color dependence or corrupted text.
T16	module	F03,F10	G09	A blue drafting grid and monospaced labels frame the current/deficit instrument.	Drafting precision should come from labeled measurements, not decorative construction lines.	Ask which lines are scales and ensure every real scale has units and bounds.
E01	accent	F07,F10	P06	A leaf border, bound-looking folio and serif headline separate identity from review.	Arts and Crafts offers questions about making and care, not a license to equate floral styling with that philosophy.	Describe one actual product practice expressing care, beyond adding the leaf border.
E02	accent	F07,F10	E01	Repeated arcing contours sit above the reserve value beside an uninterrupted evidence column.	The rendered contours are a limited print-inspired motif, not a convincing landscape or complete cultural translation.	Check any historical description against what is actually visible and the museum source.
E03	accent	F06,F10	P03	Floating red and black planes occupy empty space separate from the literal capacity figure.	Abstract geometry can supply identity if the product makes its non-quantitative status clear.	Compare with the treemap and ask which area is proportional to bytes.
E04	accent	F07,F09	P10	Cut-letter blocks disrupt the headline while the review column remains conventional.	Collage can be bounded to expression; filenames and confirmations need a stable reading sequence.	Read the heading aloud and verify that assistive reading order conveys the intended phrase.
E05	accent	F07,F09	P13	A warm serif spread uses fine horizontal texture beside plain evidence.	Editorial period cues should not import class associations or pretend to confer credibility.	Replace the texture with blank paper and compare whether the report still has useful hierarchy.
E06	module	F05,F10	X16	An outline globe and explanatory headline sit beside the candidate facts.	Educational framing needs an actual explanation model; a globe is not evidence of understanding.	Ask a reader to explain cache recreation cost after viewing the lesson, not merely recognize the illustration.
E07	module	F03,F09	G	A recessed capacity display and circular target label form a cassette-like instrument.	Separate measured quantity from adjustable set point, and name any future control explicitly.	Can the target be recognized as a preference rather than a current measurement?
E08	accent	F05,F10	P04	A bright title ribbon and diagonal marks lead to a broad evidence strip.	Directional ornament can focus the header without organizing the actual workflow.	Compare with X30; can users identify sequence only where the design really supplies steps?
E09	accent	F01,F02	E15	Muted green-gray background fields sit behind two quiet foreground blocks.	Atmosphere differs from structure; the same spatial recipe appears in the aurora study.	Use identical content and compare contrast before treating the urban mood as functional improvement.
E10	module	F03,F09	I	A serif specimen and prominent capacity figure share a ruled folio.	A type scale can provide identity and hierarchy while the specimen itself remains optional.	Check whether Aa / 150 is mistaken for the actual reserve target readout.
E11	accent	F06,F10	P11	Three overlapping translucent circles form a visibly overprinted motif above the capacity text.	This is a useful ink-layer exercise, but overlap can resemble a Venn diagram without set semantics.	Ask what each circle represents and remove any implied analytical claim.
E12	accent	F07,F09	P12	Fine hatching and restrained rules evoke an engraved inventory.	Hatching is a material cue; precise records require provenance fields beyond visual meticulousness.	Inspect whether texture impairs small labels at a standard desktop zoom.
E13	accent	F02,F05	R21	A silver-blue ribbon separates identity from a flat review and deficit area.	Concentrate reflective material in one non-reading band; keep action contrast independent.	Can users locate Review when its fill closely matches the metallic surrounding color?
E14	accent	F02,F07	E13	A pastel foil-like gradient replaces the chrome ribbon in the same composition.	Foil is a surface variant and should not be represented as a new workflow or native optical material.	Check contrast across the full gradient and in the opaque fallback.
E15	accent	F02,F09	E09	A softly illuminated backdrop supports an opaque inspector and separate reserve block.	Atmospheric depth works when the reading plane remains stable.	Test the exact content with transparency and motion reduced in the eventual native prototype.
E16	module	F05,F06	H	Three equal jelly-like category tiles sit between a reserve band and a review dock.	Equal tile size communicates membership, not equal byte magnitude or equal safety.	Can users explain why Documents has no number while the other tiles show estimates?
E17	module	F03,F09	E07	An ivory-and-blue instrument uses a circular target label and a separate measured readout.	Porcelain is a finish; target/current separation is the transferable relationship.	Can a screen-reader user distinguish the set point from a gauge without seeing the circle?
E18	module	F02,F09	E15	Dark foreground planes use shadows to separate reserve and evidence.	Depth can group content, but keyboard focus must follow the task rather than z-position.	Traverse the eventual panel by keyboard and verify no context is hidden behind layers.
E19	accent	F06,F10	X10	Faceted landscape geometry sits behind an exact-value inspector.	The polygon vocabulary is decorative and unsuitable for unlabelled size comparison.	Check whether a larger polygon is incorrectly read as a larger cache.
E20	accent	F06,F10	X24	Wireframe loops sit around a solid reserve card and evidence panel.	An inspection metaphor should not imply a completed scan or a measured directory graph.	Ask whether the loops represent files; contrast explicitly with a real partition diagram.
E21	accent	F02,F09	E13	Broad gray-green planes and faint grain repeat the ribbon composition.	A durable material impression can coexist with a plain data surface, but cannot prove trustworthy recommendations.	Check focus indicators against the subtly textured material.
E22	module	F02,F11	D	A cool folio and opaque ledger put evidence text beside the reserve readout.	Transparency is a metaphor; audit completeness depends on actual ownership, use and recreation checks.	Can a missing evidence field remain visibly unknown despite the confident visual treatment?
E23	module	F05,F06	E16	A luminous band, three equal tiles and a grounded review dock share the jelly layout.	Docking the action can stabilize the task; prismatic color must not imply selection or risk.	Can users find the action and identify excluded documents after color is removed?
E24	module	F01,F09	E16	Long calm capsules retain the same reserve, category and action hierarchy.	This is a component recipe within a shared layout, with width and wrapping tradeoffs.	Test three long localized category names at a narrow window width.
X01	module	F04,F08	X30	A branching route separates review progression from an excluded-document branch.	A visible off-ramp can make exclusion understandable; a route diagram must not imply elapsed time.	Can users identify the next unresolved step and explain why documents branch away?
X02	module	F04,F09	X31	Large departure-style rows align categories, sizes and pending actions.	The board metaphor is useful because it foregrounds pending work; split-flap animation adds no necessary information.	With 20 rows and long names, can users still find one pending action quickly?
X03	accent	F05,F07	X02	Two labeled signal flags accompany a plain candidate manifest.	Labels can make an invented signal usable; do not borrow the authority of standardized maritime flags.	Can users interpret every signal without prior maritime knowledge or color perception?
X04	rework	F06,F10	X23	Each of three category groups displays six repeated symbols despite different byte values.	Repeated icons invite a count inference even when a caption denies it; one icon per category would be clearer.	Ask whether six symbols mean six files; remove repetition if that inference persists.
X05	module	F08,F09	X27	Three overlapping drawer tabs expose small category records.	Indexed records suggest a navigation model, but overlaps and truncation may hide comparisons.	Prototype keyboard tab selection and confirm that the selected drawer has an unambiguous label.
X06	module	F08,F09	X33	A dark optical desk isolates one 31.2 GB record beside a numbered rail.	Aperture focus supports inspection but hides neighboring values; retain a visible route back to the full list.	Can users compare two records without losing the selected item's context?
X07	accent	F07,F10	R14	Perforations frame a monospaced candidate manifest.	Perforation can provide material identity but does not encode a command or a file attribute.	Ask which marks are actionable and strip any misleading code-like ornament.
X08	module	F03,F09	G	An oversized mechanical counter sits beside the 150 GB target and pending-review text.	Stable digits can communicate reserve status; odometer animation would imply continuous measurement unless backed by telemetry.	Can values above three digits and stale measurements be displayed honestly?
X09	accent	F07,F10	E01	Gold folding planes and a flowing botanical diagonal frame reserve and review.	Rhythm and asymmetry offer a bounded compositional lesson, not a complete account of Rinpa.	Keep cultural claims tied to the source and all numerical values on undistorted planes.
X10	rework	F06,F10	E19	Three prominent silo heights sit beside a separate exact-value manifest.	Quantitative-looking silhouettes create avoidable ambiguity even with a decorative disclaimer.	Make silos equal-height or remove them if viewers infer that height encodes byte size.
X11	rework	F06,F10	X24	Offset circular bands surround the reserve value beside exact labels.	Rings near numerical storage data strongly suggest a chart; separate the motif from metrics or replace it.	Ask for the meaning of each arc; reject the composition if users invent percentages.
X12	module	F06,F08	X17	Room-like orthogonal compartments organize categories alongside an exact manifest.	Spatial grouping can communicate structure, but room area competes with the nearby treemap convention.	Can users state that the floorplan expresses grouping rather than measured capacity?
X13	accent	F07,F09	F	A large pink portico frames reserve information while plain evidence sits beside it.	A theatrical threshold may suit onboarding; its columns and roof consume valuable review space.	Check whether the doorway suggests an action and reduce it on dense work screens.
X14	module	F05,F11	E22	Category plaques use museum-like labels and unequal frame widths.	Interpretive labels can connect amount and reason, but institutional styling is not certification.	Can users locate uncertainty as easily as the large exhibit-like number?
X15	rework	F04,F07	I	The render prominently says MAKE ROOM FOR YOUR NEXT IDEA beside a metric rail, rather than mapping KEEP and REVIEW as described.	Revise the semantic-map claim to match the actual typographic poster, or build the missing zones later.	Verify the artifact contains each semantic relationship named in its rationale.
X16	module	F07,F11	E06	Three specimen-like shapes use leader lines to attach category names and estimates.	Callouts can associate evidence with an object, but these shapes are placeholders, not inspected file specimens.	Require a real path or provenance field before presenting a file-level conclusion.
X17	module	F03,F06	K	A 34.6 GB enclosing area splits into 31.2 GB and 3.4 GB with direct labels.	Use proportional area for candidate composition and exact text for close comparison.	Can users identify the 34.6 GB denominator and explain why the map is not the whole disk?
X18	module	F03,F06	X17	A parent band labeled 34.6 GB sits above child bands whose widths encode shares.	Adjacency exposes depth without nested boxes; repeated parent and child values must not be summed together.	Can users explain that parent width is the same total represented by the child widths?
X19	module	F03,F06	X20	Two unequal streams converge toward a 34.6 GB review total.	Contribution flow can explain a sum, but directional movement can imply completed reclamation.	Can users describe the streams as candidate estimates and not space already recovered?
X20	module	F03,F06	X29	A zero-baseline arithmetic bridge shows 63.9 plus 31.2 plus 3.4 yielding a possible 98.5 GB.	A waterfall makes the residual shortfall visible after all candidates are counted.	Can users calculate the remaining 51.5 GB and state why 98.5 is conditional?
X21	module	F03,F06	X17	Two labeled endpoints share a horizontal 0–35 GB scale.	Aligned position supports direct magnitude comparison with less decoding than area.	Can users read 3.4 and 31.2 exactly without treating the larger category as safer?
X22	module	F03,F06	G	Current, possible and target markers share a 0–150 GB linear ruler.	A common axis is a compact way to compare status against a chosen reserve.	Can users explain that 150 GB is the selected target, not total disk capacity?
X23	module	F03,F06	X04	A 100-cell mosaic shows 42.6 percent of a 150 GB target beside exact text.	A fixed unit key makes a mosaic interpretable; one cell is 1.5 GB and not a file.	Can users convert a cell to GB and understand the fractional final cell without counting every square?
X24	module	F03,F06	E20	A parent total and split outer ring represent 34.6 GB of candidates with a legend.	Radial hierarchy is useful for enclosure and depth, but angle comparison needs an exact list alternative.	Can users state the denominator and identify the small category without estimating an angle?
X25	module	F04,F08	A	Columns distinguish To inspect, Reviewed and Excluded; Reviewed starts empty.	Candidate discovery and authorization are distinct states that must remain distinct during interaction.	Ensure dragging a card cannot silently approve deletion or fabricate a completed check.
X26	module	F04,F08	E22	One evidence accordion is open while a consequence note remains outside its collapsed sections.	Disclose optional detail progressively; keep every mandatory consequence visible without extra expansion.	Close every section and verify that exclusion and the current action's effect remain readable.
X27	module	F08,F09	R01	Three columns retain volume, category and selected-record context.	Persistent ancestry can reduce backtracking for hierarchical browsing.	Traverse a deep path by keyboard and confirm selected ancestors remain identifiable.
X28	module	F04,F08	J	One central review card sits below three numbered checkpoints.	Concentrating on one decision can reduce competing content, but progress must reflect actual completed checks.	Can users move back without losing context and identify which steps are still unperformed?
X29	module	F03,F11	D	Two facing bars compare current 63.9 GB with conditional 98.5 GB against the same target reference.	Separate current and possible states explicitly, keeping the shortfall visible in both.	Ask which number is measured and which assumes full candidate recovery.
X30	module	F04,F08	E08	A vertical itinerary names Inspect, Decide and Measure with evidence notes.	A real sequence teaches when verification happens; measurement belongs after the action as well as before it.	Can users identify the first unresolved stage without assuming any stage has completed?
X31	module	F04,F11	P15	A matrix displays candidate size beside unknown ownership and active-use states.	Evidence completeness should be inspectable independently of the amount potentially reclaimed.	Can a user find an unknown check before being attracted to the largest estimate?
X32	module	F08,F09	P14	Indented rows and branch guides expose candidate hierarchy next to a detail note.	An outline can scale hierarchy compactly if disclosure, selection and focus are separate states.	Test expand, collapse and selection with keyboard and a screen reader in the native prototype.
X33	module	F02,F08	G09	A circular lens isolates a 31.2 GB amount while adjacent text explains file-level review.	Focus is useful when context remains reachable; magnifying a number alone adds little evidence.	Replace the amount with a selected record and compare against a normal inspector.
X34	module	F02,F09	E18	Three parallel glass-like slides sit on a luminous ruled field with opaque labels.	Parallel planes can support comparison if text and focus stay on stable opaque surfaces.	Check all three labels across background changes and provide a non-layered comparison mode.
